Date,Secondary formation,Industry emission,Coal combustion,Dust emission,Vehicle emission,Biomass burning
1/6/2021 19:00,5.20 ,3.09 ,0.00 ,5.36 ,5.12 ,0.81 
1/6/2021 20:00,4.61 ,2.05 ,0.11 ,5.13 ,1.26 ,1.04 
1/6/2021 21:00,4.27 ,3.55 ,0.00 ,5.41 ,1.55 ,2.26 
1/6/2021 22:00,5.20 ,1.98 ,0.00 ,6.39 ,,2.81 
1/6/2021 23:00,0.00 ,3.47 ,3.50 ,5.61 ,,2.99 
1/7/2021 0:00,2.43 ,3.07 ,0.00 ,8.54 ,0.87 ,0.66 
1/7/2021 1:00,3.88 ,2.86 ,0.00 ,8.89 ,,0.11 
1/7/2021 2:00,3.24 ,3.05 ,0.00 ,8.77 ,,0.00 
1/7/2021 3:00,3.30 ,2.82 ,0.00 ,8.31 ,,0.49 
1/7/2021 4:00,1.94 ,3.32 ,1.08 ,8.26 ,,0.09 
1/7/2021 5:00,2.04 ,2.86 ,0.79 ,7.68 ,,0.00 
1/7/2021 6:00,4.48 ,1.60 ,0.00 ,6.16 ,,0.00 
1/7/2021 7:00,2.48 ,4.46 ,0.00 ,6.12 ,1.37 ,0.16 
1/7/2021 8:00,3.97 ,4.05 ,0.00 ,5.66 ,1.27 ,0.00 
